crop_type,region,disease_label,disease_severity,fertilizer_used,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall
Potato,Hilly,Healthy,None,Yes,6.4,,86,98,10.5,82.3,76.5
Potato,Hilly,Early Blight,Medium,No,5.68,123,76,105,20.7,80.4,60.7
Millet,Hilly,Downy Mildew,Medium,Yes,6.87,65,26,46,24.9,65.7,75.2
Rice,Terai,Healthy,None,Yes,5.82,106,36,37,24.7,83,245.5
Mustard,Terai,Blight,High,Yes,6.07,,37,42,19.2,52.9,39.1
Maize,Terai,Stalk Rot,High,Yes,,94,47,63,25.4,79.2,164.2
Rice,Terai,Blight,High,Yes,5.86,86,32,58,33.2,79.2,154.3
Potato,Mountain,Healthy,None,Yes,4.87,140,84,115,10.1,66.8,139.8
Millet,Hilly,Rust,Medium,No,6.12,40,20,49,29.6,47.2,63.9
Wheat,Hilly,Smut,High,Yes,6.43,98,49,60,22.2,52.8,118.5
Rice,Terai,Blight,,Yes,6.54,95,56,40,32.1,84.2,209.5
Tomato,Hilly,Leaf Curl,Medium,Yes,6.07,125,79,85,25.4,77.3,50.9
Rice,Terai,Blast,High,Yes,6.15,61,58,36,34.5,70.5,189
Tomato,Hilly,Leaf Curl,,Yes,6.68,,62,60,20.2,59.6,66.8
Tomato,Hilly,Wilt,High,Yes,6.45,93,55,69,25.4,77.5,113.5
Millet,Hilly,Rust,Medium,No,7.45,57,31,44,30.4,55,87.7
Maize,Terai,Stalk Rot,High,No,6.51,120,55,46,24.4,69.3,83
Millet,Mountain,Healthy,None,Yes,7.3,38,25,21,21,46.3,100
Cotton,Terai,Leaf Spot,Low,No,6.45,86,50,53,29.9,42.2,68.3
Cotton,Terai,Boll Rot,Medium,Yes,7.73,88,57,58,35.7,56.9,63
Maize,Terai,Blight,High,No,7.14,99,52,51,30.6,79.8,98.5
Rice,Terai,Sheath Rot,Medium,No,5.89,88,38,39,33.7,87,164.6
Potato,Mountain,Healthy,None,Yes,6.14,127,63,132,10.1,63.7,140.6
Wheat,Hilly,Powdery Mildew,Low,Yes,6.02,106,57,62,18.9,54,
Cotton,Terai,Leaf Spot,Low,No,6.14,61,52,34,27.9,66.4,131.1
Rice,Terai,Blast,,No,6.07,63,47,57,25.5,86.1,207.2
Tomato,Terai,Healthy,None,Yes,6.87,129,64,70,24.4,70.1,61.4
Wheat,Hilly,Rust,Medium,Yes,7.15,127,66,50,19.8,71.8,143.8
Tomato,Hilly,Leaf Curl,Medium,No,6.89,127,74,90,28.8,58.2,61.2
Rice,Terai,Sheath Rot,Medium,Yes,6.22,63,48,59,32.7,77.6,181.7
Tomato,Terai,Leaf Curl,Medium,Yes,6.89,83,53,62,27.8,70.4,93.9
Rice,Terai,Sheath Rot,Medium,No,6.67,75,35,50,28.7,71.9,172.2
Rice,Terai,Blight,High,No,,112,32,51,24.8,75.5,212.9
Maize,Hilly,Stalk Rot,High,Yes,6.2,99,45,55,19.7,68.3,168.2
Potato,Hilly,Healthy,None,Yes,5.08,92,68,128,13.5,83.4,90.6
Maize,Terai,Stalk Rot,High,No,7.03,,58,63,22.8,78.1,93.6
Rice,Terai,Blast,High,Yes,5.66,102,36,39,26.1,73.2,246.9
Maize,Terai,Blight,High,Yes,7,106,64,62,28.9,74.1,195.2
Cotton,Terai,Boll Rot,Medium,No,6.01,61,43,37,37.7,66.1,79.6
Rice,Terai,Sheath Rot,Medium,No,5.76,103,51,37,34.8,87,159.9
Potato,Hilly,Early Blight,Medium,Yes,6.29,122,59,131,14.1,73.6,128.1
Millet,Hilly,Downy Mildew,Medium,No,6,37,22,32,26,,
Maize,Terai,Stalk Rot,High,Yes,7.14,107,54,59,19.4,62.5,94.1
Wheat,Hilly,Healthy,None,Yes,7.48,126,41,42,23.1,61.3,73.9
Cotton,Terai,Wilt,High,Yes,7.01,92,59,31,36,57.7,86.8
Wheat,Terai,Powdery Mildew,Low,Yes,6.65,135,53,42,14.8,74.9,109.6
Tomato,Hilly,Healthy,None,Yes,6.33,113,48,79,26.8,65.3,42
Cotton,Terai,Wilt,High,Yes,6.85,79,51,46,31.1,52.1,129.2
Mustard,Terai,Downy Mildew,Medium,No,7.21,95,48,20,11.7,65.4,50.4
Millet,Hilly,Blast,High,Yes,6.85,47,41,44,26,55.9,100.2
Millet,Mountain,Rust,Medium,No,5.73,51,45,42,20.1,47.3,43.4
Potato,Hilly,Late Blight,High,No,5.11,93,62,125,21.7,73.9,
Rice,Terai,Blast,High,Yes,5.88,113,51,49,31.5,72.7,255.4
Cotton,Terai,Boll Rot,Medium,No,7.66,74,40,43,28.3,69,99.1
Rice,Terai,Blight,High,No,5.53,84,46,48,29.1,78.4,172.6
Cotton,Terai,Healthy,,No,6.71,67,47,54,29.4,59.1,81.4
Wheat,Hilly,Powdery Mildew,Low,Yes,7,130,54,57,10.5,57.8,96.3
Rice,Terai,Blast,High,Yes,,,35,35,30,93.4,226.7
Maize,Hilly,Blight,High,No,6.38,121,67,51,29,57.9,152.4
Tomato,Terai,Wilt,,Yes,6.9,87,54,80,20.9,78,80.9
Rice,Terai,Blast,High,No,6.54,64,34,36,34.2,,269.5
Tomato,Terai,Mosaic,Medium,Yes,6.26,85,76,99,29.9,65.9,40.6
Mustard,Terai,Blight,High,Yes,6.62,64,35,40,19.2,56.8,80.1
Wheat,Terai,Powdery Mildew,Low,Yes,6.42,126,66,73,17.9,57.5,78.2
Wheat,Terai,Smut,High,Yes,6.59,96,77,67,12.1,58,105.7
Mustard,Hilly,Blight,High,No,6.44,65,34,32,18.5,59.9,93.6
Potato,Mountain,Scab,Low,No,6.26,107,57,102,13.3,76.3,100.4
Cotton,Terai,Boll Rot,Medium,Yes,6.7,,40,33,27.5,66.9,59.8
Rice,Terai,Sheath Rot,Medium,Yes,,117,55,58,25.6,80.5,255.5
Cotton,Terai,Boll Rot,Medium,No,,83,32,31,34.5,52.6,125.7
Wheat,Hilly,Powdery Mildew,Low,No,6.69,99,42,58,15.6,50.2,132.1
Maize,Terai,Mosaic,Medium,Yes,6.9,123,68,62,23.3,66.5,127.3
Wheat,Hilly,Powdery Mildew,,No,7.27,83,50,44,10.8,51.4,62.9
Tomato,Hilly,Mosaic,Medium,Yes,6.31,103,40,86,23,75,73.2
Maize,Hilly,Blight,High,Yes,5.95,107,39,69,27.9,,102.8
Millet,Hilly,Rust,Medium,No,6.51,30,47,22,32.9,57.7,
Maize,Hilly,Healthy,,Yes,6.65,93,45,65,24.7,55.7,112.5
Potato,Hilly,Scab,Low,Yes,5.57,135,55,91,20.3,68.2,96.6
Cotton,Terai,Leaf Spot,Low,Yes,7.69,73,32,48,34.6,59,137.1
Mustard,Terai,Healthy,None,No,7.12,80,54,33,14.9,68.9,75.5
Millet,Mountain,Healthy,None,Yes,6.12,30,20,47,26.1,42.4,41.1
Tomato,Hilly,Wilt,High,Yes,6.48,96,57,78,21.7,55.4,117.3
Maize,Hilly,Healthy,None,Yes,6.05,100,60,69,29.8,70.4,158.1
Mustard,Hilly,Healthy,None,No,6.54,84,41,29,14.3,68,63.8
Mustard,Terai,Healthy,None,Yes,7.27,76,31,29,24.9,55.4,81.5
Potato,Hilly,Healthy,None,No,5.82,110,88,134,18.4,61.2,
Maize,Terai,Stalk Rot,High,Yes,6.46,85,37,49,27.9,60.6,192.4
Potato,Hilly,Scab,Low,Yes,5.72,91,53,105,18.6,67.3,90.3
Rice,Terai,Sheath Rot,Medium,Yes,6.39,66,55,45,24.1,89.8,200.2
Wheat,Hilly,Healthy,None,Yes,7.15,125,64,71,20.5,63.3,113.9
Mustard,Terai,Downy Mildew,Medium,No,7.01,87,37,29,24,65.9,37.7
Rice,Terai,Sheath Rot,Medium,Yes,6.18,110,58,53,34.3,86.6,237.2
Wheat,Terai,Healthy,None,Yes,6.79,125,57,69,18.5,73.2,137.7
Maize,Terai,Mosaic,,No,5.91,123,41,61,19.6,64.1,
Potato,Hilly,Early Blight,Medium,Yes,5.92,91,83,90,10.5,62,127.7
Mustard,Terai,Healthy,None,Yes,6.1,94,53,27,20,,
Cotton,Terai,Boll Rot,Medium,Yes,7.64,64,50,31,26.3,41.9,90.5
Millet,Hilly,Downy Mildew,,Yes,6.31,59,41,32,22.7,43.4,117.7
Tomato,Terai,Wilt,High,Yes,6.25,86,63,98,24.5,78.4,73
Cotton,Terai,Leaf Spot,Low,Yes,7.25,99,38,46,25.7,51.2,100.1
Millet,Hilly,Healthy,None,Yes,5.63,65,32,34,26.5,45.9,64.4
Mustard,Hilly,Blight,High,Yes,6.7,72,44,29,11.3,72.3,34.6
Millet,Hilly,Blast,High,Yes,5.59,55,26,40,27.1,62.9,94
Millet,Hilly,Healthy,None,Yes,5.99,48,23,48,31.5,65.5,115.6
Tomato,Terai,Leaf Curl,Medium,Yes,6.58,,74,99,25.6,57,41.2
Millet,Hilly,Downy Mildew,Medium,Yes,5.64,51,46,40,21.7,47.9,73.4
Rice,Terai,Blast,High,No,5.88,91,30,37,26.3,70.5,215.3
Millet,Hilly,Blast,High,No,5.91,53,41,40,34.2,66.5,98.9
Rice,Terai,Healthy,None,Yes,6.76,68,55,50,29.6,85.7,269.1
Maize,Terai,Blight,High,Yes,5.85,108,65,47,19.8,62.5,
Millet,Mountain,Healthy,,Yes,7.07,33,32,46,30.2,68.5,57.5
Maize,Terai,Mosaic,Medium,Yes,6.99,79,60,53,19.3,61.7,
Cotton,Terai,Healthy,None,No,6.91,99,55,49,30.7,63.5,
Cotton,Terai,Leaf Spot,Low,Yes,7.94,60,33,39,26,40.1,57.8
Potato,Hilly,Late Blight,High,Yes,6.12,117,89,108,20.3,60.2,137.9
Maize,Hilly,Mosaic,Medium,Yes,6.47,77,43,67,18.7,74.9,81.5
Rice,Terai,Healthy,None,Yes,6.27,76,34,42,29.1,73.2,245.9
Maize,Terai,Stalk Rot,High,Yes,6.59,125,64,58,27.5,56.1,93.9
Mustard,Hilly,Downy Mildew,Medium,Yes,,90,40,28,20.2,,90.1
Maize,Terai,Mosaic,Medium,Yes,6.32,124,63,69,28,59.5,
Potato,Mountain,Early Blight,Medium,No,5.98,148,88,94,18.1,65.9,143.9
Rice,Terai,Blight,High,No,5.76,62,49,53,28.4,89.3,152.5
Maize,Hilly,Blight,High,Yes,5.81,,68,56,18.6,77.2,108.4
Cotton,Terai,Wilt,High,Yes,6.04,91,48,59,35.3,42.4,63
Mustard,Hilly,Downy Mildew,Medium,Yes,6.68,67,34,27,18.1,73.5,98.9
Maize,Terai,Mosaic,,Yes,6.52,118,43,43,18.6,59.4,177
Tomato,Terai,Healthy,None,No,6.54,105,67,53,27.7,56.2,93.7
Rice,Terai,Sheath Rot,Medium,Yes,6.32,78,35,32,26.8,82.1,257.3
Cotton,Terai,Healthy,None,Yes,6.59,105,59,35,31.9,63.9,51.8
Cotton,Terai,Healthy,None,No,7.04,90,37,31,29.6,46.7,60.5
Wheat,Hilly,Powdery Mildew,Low,Yes,7.41,110,56,72,13.1,51.7,57.1
Rice,Terai,Healthy,None,No,6.79,87,53,58,24.7,90.6,227.1
Millet,Hilly,Blast,High,Yes,6,39,25,37,23.2,48.3,46.3
Tomato,Hilly,Wilt,High,Yes,6.54,126,52,93,25.2,58.2,49.3
Mustard,Terai,Healthy,None,No,6.93,97,53,23,13.2,65.1,78.4
Cotton,Terai,Wilt,High,No,7.14,68,55,58,27.2,59.5,129.1
Maize,Hilly,Mosaic,Medium,No,7.11,104,51,45,21.1,69.3,194.9
Wheat,Hilly,Healthy,None,Yes,6.18,91,48,62,16.2,69.6,65.1
Maize,Terai,Blight,High,Yes,6.11,89,61,48,30.2,78.7,101.7
Rice,Terai,Blast,High,No,6.47,99,54,42,29.1,76.2,187.2
Wheat,Terai,Rust,Medium,No,7.14,112,65,77,19.3,65.3,92
Mustard,Hilly,Healthy,None,No,6.25,73,52,35,21.8,56.5,44.1
Cotton,Terai,Healthy,None,Yes,7.32,109,37,50,32.1,61.1,77
Millet,Mountain,Rust,Medium,Yes,6.26,63,29,37,20.9,67.3,92.2
Rice,Terai,Blast,High,Yes,5.99,106,33,59,34.7,86.4,183.6
Tomato,Hilly,Leaf Curl,,Yes,6.52,107,43,56,20.4,75,72.1
Mustard,Terai,White Rust,Medium,Yes,7.21,,58,45,18.5,62.4,47.2
Wheat,Terai,Healthy,None,Yes,7.17,101,48,54,13,53,59.5
Wheat,Terai,Rust,Medium,No,6.49,85,68,54,11.8,71.1,134.4
Rice,Terai,Blast,High,Yes,6,74,44,46,31.6,79.9,254.2
Rice,Terai,Blight,High,Yes,6.08,89,59,36,32.1,86.8,228.2
Millet,Hilly,Blast,High,Yes,6.61,69,43,23,33.6,55.8,88.4
Maize,Hilly,Mosaic,,Yes,5.84,,64,44,20.6,63.4,123.5
Potato,Mountain,Scab,Low,Yes,4.98,139,67,84,15.9,77.2,
Rice,Terai,Blight,High,Yes,5.61,71,44,53,25.1,71.9,192.7
Mustard,Terai,Healthy,None,No,7.1,85,56,22,13.4,56.6,62.6
Maize,Terai,Healthy,None,Yes,6.46,112,67,46,25.2,,112.1
Potato,Hilly,Healthy,None,No,5.05,140,55,133,16.7,76.4,101.9
Potato,Hilly,Healthy,None,Yes,5.04,126,71,92,15.7,77.4,110.7
Millet,Hilly,Downy Mildew,Medium,Yes,5.56,67,40,40,29.3,57.1,109.5
Potato,Hilly,Scab,Low,Yes,6.05,101,72,92,10.8,65.4,77.4
Mustard,Hilly,White Rust,Medium,No,6.99,64,49,34,24.9,59.8,66.9
Wheat,Terai,Smut,High,Yes,6.19,113,71,68,15.4,65.8,144.9
Wheat,Hilly,Healthy,None,No,7.08,135,56,47,13.7,60.4,138.1
Maize,Hilly,Healthy,None,Yes,6.47,99,42,55,30.5,74.5,130.3
Millet,Hilly,Downy Mildew,Medium,Yes,6.9,60,47,26,34.1,50,62
Maize,Hilly,Healthy,None,Yes,7.2,110,69,58,23.3,77.2,115.6
Mustard,Hilly,Downy Mildew,Medium,Yes,6.33,,47,36,23.1,72.2,33.7
Maize,Terai,Healthy,None,Yes,6.65,107,53,55,18.3,67.9,166.5
Mustard,Terai,Healthy,None,Yes,6.3,96,52,40,19.4,57.7,39.2
Cotton,Terai,Wilt,,Yes,6.48,109,34,44,25.5,,98.1
Potato,Hilly,Late Blight,High,Yes,6.02,125,69,91,21,71.3,132.1
Tomato,Terai,Leaf Curl,Medium,Yes,6.71,124,69,84,24.1,60.5,110.8
Potato,Hilly,Late Blight,High,Yes,6.35,147,63,101,19.9,67.7,131
Rice,Terai,Blast,High,Yes,6.8,67,55,39,34.5,91,198.1
Rice,Terai,Blast,High,Yes,5.81,78,53,56,30.8,94,271.7
Rice,Terai,Healthy,None,Yes,6.26,119,43,31,28.2,89,269
Wheat,Terai,Smut,High,Yes,6.12,104,48,56,15,62.3,104.2
Maize,Terai,Blight,High,Yes,5.82,123,36,43,19.9,75.4,182.2
Mustard,Hilly,White Rust,Medium,Yes,6.31,73,54,40,12.7,68.9,96
Rice,Terai,Healthy,None,Yes,6.89,92,49,57,27.3,90.4,209.7
Potato,Hilly,Healthy,None,No,5.28,101,70,131,12.5,80.1,82.5
Maize,Terai,Stalk Rot,High,Yes,6.82,121,58,63,25.8,62.6,110.7
Tomato,Terai,Leaf Curl,Medium,Yes,6.58,106,58,60,29.6,78.3,79.9
Tomato,Terai,Mosaic,Medium,No,6.64,119,61,81,24,79.2,
Wheat,Hilly,Powdery Mildew,Low,Yes,6.16,93,68,42,23.1,,101
Maize,Hilly,Healthy,None,Yes,6.56,92,59,51,29.5,60.5,145.6
Tomato,Terai,Mosaic,Medium,Yes,6.47,88,54,69,22.3,62.5,44.7
Tomato,Hilly,Mosaic,Medium,Yes,6.2,126,67,91,23.3,76.3,85.1
Millet,Hilly,Healthy,None,Yes,7.33,46,31,35,29,45.3,93.2
Millet,Mountain,Downy Mildew,Medium,Yes,6.06,46,27,20,30.3,47.2,57
Wheat,Hilly,Healthy,None,Yes,7.44,109,72,62,11.6,56.4,106.7
Wheat,Terai,Rust,Medium,Yes,6.49,119,62,53,18.9,68.2,51.6
Potato,Hilly,Late Blight,High,No,,130,52,126,19.7,82.9,129.4
Tomato,Hilly,Mosaic,Medium,Yes,6.82,112,56,72,24.2,59.9,102.8
Rice,Terai,Blast,High,No,6.46,,57,32,26.2,70.1,280
Rice,Terai,Blast,High,Yes,5.77,75,54,58,30.1,,222.6
Tomato,Hilly,Healthy,None,No,6.7,111,47,73,25.4,56.9,82.6
Millet,Mountain,Downy Mildew,Medium,No,6.16,60,32,39,30.1,41.7,53.6
Rice,Terai,Sheath Rot,Medium,Yes,6.77,65,44,34,25.2,,221.2
Millet,Mountain,Blast,High,Yes,6.73,67,39,22,21,43.5,73.4
Rice,Terai,Blast,High,No,5.6,86,55,32,27.2,74.3,269.8
Cotton,Terai,Wilt,High,Yes,6.56,90,54,52,26.5,49,63.9
Potato,Mountain,Early Blight,Medium,No,5.87,139,70,123,17.5,67.5,142.5
Rice,Terai,Sheath Rot,Medium,Yes,6.29,72,45,46,34.6,91,235
Maize,Hilly,Healthy,None,Yes,6.85,74,38,57,30.8,65,139.8
Tomato,Terai,Mosaic,Medium,Yes,6.15,85,44,55,20.5,67.6,81.3
Wheat,Terai,Smut,High,Yes,7.48,129,58,62,24.9,57.8,72.7
Tomato,Terai,Leaf Curl,Medium,Yes,6.8,93,68,60,25.2,62.5,72.1
Wheat,Terai,Smut,High,Yes,6.44,103,53,73,10.4,58.7,113.1
Wheat,Terai,Healthy,None,Yes,6.68,134,44,68,11.8,55.2,77.3
Rice,Terai,Blight,High,Yes,6.04,103,36,36,29.9,71.5,226.8
Rice,Terai,Sheath Rot,Medium,Yes,,91,50,38,26.4,,163.4
Tomato,Terai,Mosaic,Medium,Yes,6.01,,56,78,28.2,70.4,108.9
Wheat,Hilly,Healthy,None,Yes,6.61,81,46,68,15.6,66.1,77.1
Tomato,Terai,Leaf Curl,Medium,Yes,6.84,124,72,55,20.9,80,75.6
Tomato,Hilly,Wilt,,Yes,6.88,121,49,51,26.3,60.8,65.4
Rice,Terai,Blight,High,Yes,5.56,100,39,46,32.6,80.1,165.2
