crop_type,region,fertilizer_used,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,disease_label,KMeans_Zone,DBSCAN_Zone
Cotton,Terai,No,6.54,86.0,54.0,42,28.1,45.7,94.8,Leaf Spot,2,6
Cotton,Terai,No,6.92,102.0,53.0,31,31.8,63.9,119.8,Wilt,2,6
Potato,Hilly,No,6.05,129.0,84.125,104,16.6,68.6,141.2,Scab,1,7
Rice,Terai,Yes,5.94,79.0,38.0,31,25.0,80.5,186.8,Sheath Rot,0,5
Cotton,Terai,Yes,6.11,98.0,51.0,39,36.8,49.5,52.1,Wilt,2,2
Potato,Mountain,Yes,6.13,102.0,55.0,104,17.7,83.3,97.3,Scab,1,-1
Tomato,Terai,Yes,6.48,126.0,68.0,83,20.7,61.1,99.9,Leaf Curl,1,5
Maize,Hilly,Yes,6.47,94.0,40.0,50,19.0,72.8,110.8,Blight,2,2
Rice,Terai,Yes,5.56,119.0,49.0,50,28.0,92.0,197.5,Sheath Rot,0,5
Maize,Hilly,No,6.57,129.0,58.0,41,23.1,63.7,102.9,Mosaic,2,8
Cotton,Terai,Yes,7.86,95.0,52.0,35,33.9,60.8,134.8,Boll Rot,2,2
Cotton,Terai,Yes,6.17,79.0,41.0,56,37.1,64.1,112.0,Leaf Spot,2,2
Tomato,Terai,No,6.83,129.0,46.0,84,24.6,69.2,111.3,Leaf Curl,1,-1
Cotton,Terai,Yes,7.71,101.0,53.0,40,26.7,65.2,58.8,Boll Rot,2,2
Rice,Terai,Yes,6.28,110.0,54.0,58,28.8,72.3,232.8,Healthy,0,5
Cotton,Terai,Yes,7.48,95.0,46.0,50,31.4,56.3,112.0,Healthy,2,2
Wheat,Hilly,Yes,6.42,129.0,51.0,72,13.3,51.1,89.7,Rust,1,4
Wheat,Terai,Yes,6.28,98.0,59.0,56,10.2,66.0,78.9,Healthy,1,5
Potato,Mountain,Yes,5.05,131.0,79.0,104,10.3,75.9,89.0,Early Blight,1,4
Millet,Hilly,Yes,6.47,47.0,30.0,35,21.3,55.1,84.7,Downy Mildew,2,2
Wheat,Hilly,Yes,7.27,117.0,70.0,48,23.3,59.3,75.2,Powdery Mildew,1,4
Millet,Mountain,No,5.64,33.0,23.0,45,29.8,51.2,101.7,Rust,2,1
Tomato,Terai,Yes,6.66,93.0,41.0,70,27.3,57.8,95.2,Wilt,2,5
Rice,Terai,No,6.99,107.0,42.0,54,32.7,66.25,196.6,Blight,0,0
Millet,Hilly,No,5.86,31.0,44.0,36,30.9,43.3,86.0,Downy Mildew,2,1
Wheat,Terai,No,6.09,138.0,75.0,77,12.8,58.8,99.9,Rust,1,-1
Millet,Mountain,No,7.25,51.0,30.0,26,27.7,52.3,58.0,Healthy,2,10
Millet,Mountain,Yes,7.36,41.0,48.0,21,22.1,61.9,90.0,Blast,2,2
Tomato,Hilly,Yes,6.29,81.0,72.0,72,28.7,63.1,84.7,Mosaic,1,4
Potato,Mountain,Yes,5.2,122.0,58.0,88,11.1,75.4,118.0,Healthy,1,4
Millet,Mountain,Yes,7.29,39.0,22.0,42,28.7,45.6,79.0,Healthy,2,2
Wheat,Hilly,Yes,7.09,91.0,75.0,57,11.4,56.6,99.8,Healthy,1,4
Rice,Terai,Yes,6.19,65.0,46.0,49,24.8,87.4,205.9,Blast,0,5
Mustard,Hilly,No,7.08,64.0,48.0,30,13.9,53.2,91.2,Blight,2,11
Rice,Terai,Yes,5.55,66.0,48.0,56,32.8,79.5,155.4,Blast,0,5
Maize,Terai,Yes,6.4,95.0,49.0,58,26.9,58.5,198.2,Blight,2,2
Cotton,Terai,Yes,7.61,81.0,53.0,43,31.0,58.6,124.4,Boll Rot,2,2
Maize,Terai,Yes,6.09,99.0,38.0,64,22.6,56.5,144.1,Healthy,2,2
Mustard,Terai,No,6.35,64.0,33.0,37,14.2,63.0,48.7,Blight,2,-1
Tomato,Hilly,Yes,6.34,116.0,62.0,66,22.5,77.3,115.1,Leaf Curl,1,4
Rice,Terai,Yes,5.84,96.0,48.0,52,30.1,85.3,232.8,Blight,0,5
Millet,Hilly,Yes,5.61,64.0,47.0,22,25.0,43.1,119.4,Downy Mildew,2,2
Mustard,Terai,Yes,7.15,72.0,44.0,43,11.4,66.8,84.6,Downy Mildew,2,2
Millet,Mountain,Yes,6.8,42.0,38.0,35,25.9,52.5,94.9,Healthy,2,2
Tomato,Hilly,No,6.98,89.0,45.0,52,22.4,77.7,92.7,Mosaic,1,-1
Potato,Hilly,Yes,6.4,94.0,84.125,98,10.5,82.3,76.5,Healthy,1,4
Potato,Hilly,No,5.68,123.0,76.0,104,20.7,80.4,60.7,Early Blight,1,-1
Millet,Hilly,Yes,6.87,65.0,26.0,46,24.9,65.7,75.2,Downy Mildew,2,2
Rice,Terai,Yes,5.82,106.0,36.0,37,24.7,83.0,232.8,Healthy,0,5
Mustard,Terai,Yes,6.07,94.0,37.0,42,19.2,52.9,39.1,Blight,2,2
Maize,Terai,Yes,6.47,94.0,47.0,63,25.4,79.2,164.2,Stalk Rot,0,2
Rice,Terai,Yes,5.86,86.0,32.0,58,33.2,79.2,154.3,Blight,0,5
Potato,Mountain,Yes,4.921250000000001,140.0,84.0,104,10.1,66.8,139.8,Healthy,1,4
Millet,Hilly,No,6.12,40.0,20.0,49,29.6,47.2,63.9,Rust,2,1
Wheat,Hilly,Yes,6.43,98.0,49.0,60,22.2,52.8,118.5,Smut,1,4
Rice,Terai,Yes,6.54,95.0,56.0,40,32.1,84.2,209.5,Blight,0,5
Tomato,Hilly,Yes,6.07,125.0,79.0,85,25.4,77.3,50.9,Leaf Curl,1,4
Rice,Terai,Yes,6.15,61.0,58.0,36,34.5,70.5,189.0,Blast,0,5
Tomato,Hilly,Yes,6.68,94.0,62.0,60,20.2,59.6,66.8,Leaf Curl,1,4
Tomato,Hilly,Yes,6.45,93.0,55.0,69,25.4,77.5,113.5,Wilt,1,4
Millet,Hilly,No,7.45,57.0,31.0,44,30.4,55.0,87.7,Rust,2,10
Maize,Terai,No,6.51,120.0,55.0,46,24.4,69.3,83.0,Stalk Rot,2,6
Millet,Mountain,Yes,7.3,38.0,25.0,21,21.0,46.3,100.0,Healthy,2,2
Cotton,Terai,No,6.45,86.0,50.0,53,29.9,42.2,68.3,Leaf Spot,2,6
Cotton,Terai,Yes,7.73,88.0,57.0,58,35.7,56.9,63.0,Boll Rot,2,2
Maize,Terai,No,7.14,99.0,52.0,51,30.6,79.8,98.5,Blight,2,6
Rice,Terai,No,5.89,88.0,38.0,39,33.7,87.0,164.6,Sheath Rot,0,0
Potato,Mountain,Yes,6.14,127.0,63.0,104,10.1,63.7,140.6,Healthy,1,4
Wheat,Hilly,Yes,6.02,106.0,57.0,62,18.9,54.0,99.9,Powdery Mildew,1,4
Cotton,Terai,No,6.14,61.0,52.0,34,27.9,66.4,131.1,Leaf Spot,2,6
Rice,Terai,No,6.07,63.0,47.0,57,25.5,86.1,207.2,Blast,0,0
Tomato,Terai,Yes,6.87,129.0,64.0,70,24.4,70.1,61.4,Healthy,1,5
Wheat,Hilly,Yes,7.15,127.0,66.0,50,19.8,71.8,143.8,Rust,1,4
Tomato,Hilly,No,6.89,127.0,74.0,90,28.8,58.2,61.2,Leaf Curl,1,-1
Rice,Terai,Yes,6.22,63.0,48.0,59,32.7,77.6,181.7,Sheath Rot,0,5
Tomato,Terai,Yes,6.89,83.0,53.0,62,27.8,70.4,93.9,Leaf Curl,1,5
Rice,Terai,No,6.67,75.0,35.0,50,28.7,71.9,172.2,Sheath Rot,0,0
Rice,Terai,No,6.47,112.0,32.0,51,24.8,75.5,212.9,Blight,0,0
Maize,Hilly,Yes,6.2,99.0,45.0,55,19.7,68.3,168.2,Stalk Rot,2,2
Potato,Hilly,Yes,5.08,92.0,68.0,104,13.5,83.4,90.6,Healthy,1,4
Maize,Terai,No,7.03,94.0,58.0,63,22.8,78.1,93.6,Stalk Rot,2,6
Rice,Terai,Yes,5.66,102.0,36.0,39,26.1,73.2,232.8,Blast,0,5
Maize,Terai,Yes,7.0,106.0,64.0,62,28.9,74.1,195.2,Blight,0,2
Cotton,Terai,No,6.01,61.0,43.0,37,37.7,66.1,79.6,Boll Rot,2,6
Rice,Terai,No,5.76,103.0,51.0,37,34.8,87.0,159.9,Sheath Rot,0,0
Potato,Hilly,Yes,6.29,122.0,59.0,104,14.1,73.6,128.1,Early Blight,1,4
Millet,Hilly,No,6.0,37.0,22.0,32,26.0,66.25,99.9,Downy Mildew,2,-1
Maize,Terai,Yes,7.14,107.0,54.0,59,19.4,62.5,94.1,Stalk Rot,2,2
Wheat,Hilly,Yes,7.48,126.0,41.0,42,23.1,61.3,73.9,Healthy,1,4
Cotton,Terai,Yes,7.01,92.0,59.0,31,36.0,57.7,86.8,Wilt,2,2
Wheat,Terai,Yes,6.65,135.0,53.0,42,14.8,74.9,109.6,Powdery Mildew,1,5
Tomato,Hilly,Yes,6.33,113.0,48.0,79,26.8,65.3,42.0,Healthy,1,4
Cotton,Terai,Yes,6.85,79.0,51.0,46,31.1,52.1,129.2,Wilt,2,2
Mustard,Terai,No,7.21,95.0,48.0,20,11.7,65.4,50.4,Downy Mildew,2,3
Millet,Hilly,Yes,6.85,47.0,41.0,44,26.0,55.9,100.2,Blast,2,2
Millet,Mountain,No,5.73,51.0,45.0,42,20.1,47.3,43.4,Rust,2,-1
Potato,Hilly,No,5.11,93.0,62.0,104,21.7,73.9,99.9,Late Blight,1,-1
Rice,Terai,Yes,5.88,113.0,51.0,49,31.5,72.7,232.8,Blast,0,5
Cotton,Terai,No,7.66,74.0,40.0,43,28.3,69.0,99.1,Boll Rot,2,6
Rice,Terai,No,5.53,84.0,46.0,48,29.1,78.4,172.6,Blight,0,0
Cotton,Terai,No,6.71,67.0,47.0,54,29.4,59.1,81.4,Healthy,2,6
Rice,Terai,Yes,6.47,94.0,35.0,35,30.0,93.4,226.7,Blast,0,5
Maize,Hilly,No,6.38,121.0,67.0,51,29.0,57.9,152.4,Blight,2,8
Tomato,Terai,Yes,6.9,87.0,54.0,80,20.9,78.0,80.9,Wilt,1,5
Rice,Terai,No,6.54,64.0,34.0,36,34.2,66.25,232.8,Blast,0,0
Tomato,Terai,Yes,6.26,85.0,76.0,99,29.9,65.9,40.6,Mosaic,1,5
Mustard,Terai,Yes,6.62,64.0,35.0,40,19.2,56.8,80.1,Blight,2,2
Wheat,Terai,Yes,6.42,126.0,66.0,73,17.9,57.5,78.2,Powdery Mildew,1,5
Wheat,Terai,Yes,6.59,96.0,77.0,67,12.1,58.0,105.7,Smut,1,5
Mustard,Hilly,No,6.44,65.0,34.0,32,18.5,59.9,93.6,Blight,2,11
Potato,Mountain,No,6.26,107.0,57.0,102,13.3,76.3,100.4,Scab,1,-1
Cotton,Terai,Yes,6.7,94.0,40.0,33,27.5,66.9,59.8,Boll Rot,2,2
Rice,Terai,Yes,6.47,117.0,55.0,58,25.6,80.5,232.8,Sheath Rot,0,5
Cotton,Terai,No,6.47,83.0,32.0,31,34.5,52.6,125.7,Boll Rot,2,-1
Wheat,Hilly,No,6.69,99.0,42.0,58,15.6,50.2,132.1,Powdery Mildew,1,-1
Maize,Terai,Yes,6.9,123.0,68.0,62,23.3,66.5,127.3,Mosaic,1,2
Wheat,Hilly,No,7.27,83.0,50.0,44,10.8,51.4,62.9,Powdery Mildew,1,-1
Tomato,Hilly,Yes,6.31,103.0,40.0,86,23.0,75.0,73.2,Mosaic,1,4
Maize,Hilly,Yes,5.95,107.0,39.0,69,27.9,66.25,102.8,Blight,2,2
Millet,Hilly,No,6.51,30.0,47.0,22,32.9,57.7,99.9,Rust,2,-1
Maize,Hilly,Yes,6.65,93.0,45.0,65,24.7,55.7,112.5,Healthy,2,2
Potato,Hilly,Yes,5.57,135.0,55.0,91,20.3,68.2,96.6,Scab,1,4
Cotton,Terai,Yes,7.69,73.0,32.0,48,34.6,59.0,137.1,Leaf Spot,2,2
Mustard,Terai,No,7.12,80.0,54.0,33,14.9,68.9,75.5,Healthy,2,3
Millet,Mountain,Yes,6.12,30.0,20.0,47,26.1,42.4,41.1,Healthy,2,2
Tomato,Hilly,Yes,6.48,96.0,57.0,78,21.7,55.4,117.3,Wilt,1,4
Maize,Hilly,Yes,6.05,100.0,60.0,69,29.8,70.4,158.1,Healthy,1,2
Mustard,Hilly,No,6.54,84.0,41.0,29,14.3,68.0,63.8,Healthy,2,11
Mustard,Terai,Yes,7.27,76.0,31.0,29,24.9,55.4,81.5,Healthy,2,2
Potato,Hilly,No,5.82,110.0,84.125,104,18.4,61.2,99.9,Healthy,1,7
Maize,Terai,Yes,6.46,85.0,37.0,49,27.9,60.6,192.4,Stalk Rot,2,2
Potato,Hilly,Yes,5.72,91.0,53.0,104,18.6,67.3,90.3,Scab,1,4
Rice,Terai,Yes,6.39,66.0,55.0,45,24.1,89.8,200.2,Sheath Rot,0,5
Wheat,Hilly,Yes,7.15,125.0,64.0,71,20.5,63.3,113.9,Healthy,1,4
Mustard,Terai,No,7.01,87.0,37.0,29,24.0,65.9,37.7,Downy Mildew,2,3
Rice,Terai,Yes,6.18,110.0,58.0,53,34.3,86.6,232.8,Sheath Rot,0,5
Wheat,Terai,Yes,6.79,125.0,57.0,69,18.5,73.2,137.7,Healthy,1,5
Maize,Terai,No,5.91,123.0,41.0,61,19.6,64.1,99.9,Mosaic,2,6
Potato,Hilly,Yes,5.92,91.0,83.0,90,10.5,62.0,127.7,Early Blight,1,4
Mustard,Terai,Yes,6.1,94.0,53.0,27,20.0,66.25,99.9,Healthy,2,2
Cotton,Terai,Yes,7.64,64.0,50.0,31,26.3,41.9,90.5,Boll Rot,2,2
Millet,Hilly,Yes,6.31,59.0,41.0,32,22.7,43.4,117.7,Downy Mildew,2,2
Tomato,Terai,Yes,6.25,86.0,63.0,98,24.5,78.4,73.0,Wilt,1,5
Cotton,Terai,Yes,7.25,99.0,38.0,46,25.7,51.2,100.1,Leaf Spot,2,2
Millet,Hilly,Yes,5.63,65.0,32.0,34,26.5,45.9,64.4,Healthy,2,2
Mustard,Hilly,Yes,6.7,72.0,44.0,29,11.3,72.3,34.6,Blight,2,2
Millet,Hilly,Yes,5.59,55.0,26.0,40,27.1,62.9,94.0,Blast,2,2
Millet,Hilly,Yes,5.99,48.0,23.0,48,31.5,65.5,115.6,Healthy,2,2
Tomato,Terai,Yes,6.58,94.0,74.0,99,25.6,57.0,41.2,Leaf Curl,1,5
Millet,Hilly,Yes,5.64,51.0,46.0,40,21.7,47.9,73.4,Downy Mildew,2,2
Rice,Terai,No,5.88,91.0,30.0,37,26.3,70.5,215.3,Blast,0,0
Millet,Hilly,No,5.91,53.0,41.0,40,34.2,66.5,98.9,Blast,2,-1
Rice,Terai,Yes,6.76,68.0,55.0,50,29.6,85.7,232.8,Healthy,0,5
Maize,Terai,Yes,5.85,108.0,65.0,47,19.8,62.5,99.9,Blight,2,2
Millet,Mountain,Yes,7.07,33.0,32.0,46,30.2,68.5,57.5,Healthy,2,2
Maize,Terai,Yes,6.99,79.0,60.0,53,19.3,61.7,99.9,Mosaic,2,2
Cotton,Terai,No,6.91,99.0,55.0,49,30.7,63.5,99.9,Healthy,2,6
Cotton,Terai,Yes,7.94,60.0,33.0,39,26.0,40.1,57.8,Leaf Spot,2,-1
Potato,Hilly,Yes,6.12,117.0,84.125,104,20.3,60.2,137.9,Late Blight,1,4
Maize,Hilly,Yes,6.47,77.0,43.0,67,18.7,74.9,81.5,Mosaic,2,2
Rice,Terai,Yes,6.27,76.0,34.0,42,29.1,73.2,232.8,Healthy,0,5
Maize,Terai,Yes,6.59,125.0,64.0,58,27.5,56.1,93.9,Stalk Rot,2,2
Mustard,Hilly,Yes,6.47,90.0,40.0,28,20.2,66.25,90.1,Downy Mildew,2,2
Maize,Terai,Yes,6.32,124.0,63.0,69,28.0,59.5,99.9,Mosaic,1,2
Potato,Mountain,No,5.98,148.0,84.125,94,18.1,65.9,143.9,Early Blight,1,7
Rice,Terai,No,5.76,62.0,49.0,53,28.4,89.3,152.5,Blight,0,0
Maize,Hilly,Yes,5.81,94.0,68.0,56,18.6,77.2,108.4,Blight,1,2
Cotton,Terai,Yes,6.04,91.0,48.0,59,35.3,42.4,63.0,Wilt,2,2
Mustard,Hilly,Yes,6.68,67.0,34.0,27,18.1,73.5,98.9,Downy Mildew,2,2
Maize,Terai,Yes,6.52,118.0,43.0,43,18.6,59.4,177.0,Mosaic,2,2
Tomato,Terai,No,6.54,105.0,67.0,53,27.7,56.2,93.7,Healthy,1,-1
Rice,Terai,Yes,6.32,78.0,35.0,32,26.8,82.1,232.8,Sheath Rot,0,5
Cotton,Terai,Yes,6.59,105.0,59.0,35,31.9,63.9,51.8,Healthy,2,2
Cotton,Terai,No,7.04,90.0,37.0,31,29.6,46.7,60.5,Healthy,2,6
Wheat,Hilly,Yes,7.41,110.0,56.0,72,13.1,51.7,57.1,Powdery Mildew,1,4
Rice,Terai,No,6.79,87.0,53.0,58,24.7,90.6,227.1,Healthy,0,0
Millet,Hilly,Yes,6.0,39.0,25.0,37,23.2,48.3,46.3,Blast,2,2
Tomato,Hilly,Yes,6.54,126.0,52.0,93,25.2,58.2,49.3,Wilt,1,4
Mustard,Terai,No,6.93,97.0,53.0,23,13.2,65.1,78.4,Healthy,2,3
Cotton,Terai,No,7.14,68.0,55.0,58,27.2,59.5,129.1,Wilt,2,6
Maize,Hilly,No,7.11,104.0,51.0,45,21.1,69.3,194.9,Mosaic,2,8
Wheat,Hilly,Yes,6.18,91.0,48.0,62,16.2,69.6,65.1,Healthy,1,4
Maize,Terai,Yes,6.11,89.0,61.0,48,30.2,78.7,101.7,Blight,2,2
Rice,Terai,No,6.47,99.0,54.0,42,29.1,76.2,187.2,Blast,0,0
Wheat,Terai,No,7.14,112.0,65.0,77,19.3,65.3,92.0,Rust,1,-1
Mustard,Hilly,No,6.25,73.0,52.0,35,21.8,56.5,44.1,Healthy,2,11
Cotton,Terai,Yes,7.32,109.0,37.0,50,32.1,61.1,77.0,Healthy,2,2
Millet,Mountain,Yes,6.26,63.0,29.0,37,20.9,67.3,92.2,Rust,2,2
Rice,Terai,Yes,5.99,106.0,33.0,59,34.7,86.4,183.6,Blast,0,5
Tomato,Hilly,Yes,6.52,107.0,43.0,56,20.4,75.0,72.1,Leaf Curl,1,4
Mustard,Terai,Yes,7.21,94.0,58.0,45,18.5,62.4,47.2,White Rust,2,2
Wheat,Terai,Yes,7.17,101.0,48.0,54,13.0,53.0,59.5,Healthy,1,5
Wheat,Terai,No,6.49,85.0,68.0,54,11.8,71.1,134.4,Rust,1,-1
Rice,Terai,Yes,6.0,74.0,44.0,46,31.6,79.9,232.8,Blast,0,5
Rice,Terai,Yes,6.08,89.0,59.0,36,32.1,86.8,228.2,Blight,0,5
Millet,Hilly,Yes,6.61,69.0,43.0,23,33.6,55.8,88.4,Blast,2,2
Maize,Hilly,Yes,5.84,94.0,64.0,44,20.6,63.4,123.5,Mosaic,2,2
Rice,Terai,Yes,5.61,71.0,44.0,53,25.1,71.9,192.7,Blight,0,5
Mustard,Terai,No,7.1,85.0,56.0,22,13.4,56.6,62.6,Healthy,2,3
Maize,Terai,Yes,6.46,112.0,67.0,46,25.2,66.25,112.1,Healthy,2,2
Potato,Hilly,No,5.05,140.0,55.0,104,16.7,76.4,101.9,Healthy,1,-1
Potato,Hilly,Yes,5.04,126.0,71.0,92,15.7,77.4,110.7,Healthy,1,4
Millet,Hilly,Yes,5.56,67.0,40.0,40,29.3,57.1,109.5,Downy Mildew,2,2
Potato,Hilly,Yes,6.05,101.0,72.0,92,10.8,65.4,77.4,Scab,1,4
Mustard,Hilly,No,6.99,64.0,49.0,34,24.9,59.8,66.9,White Rust,2,11
Wheat,Terai,Yes,6.19,113.0,71.0,68,15.4,65.8,144.9,Smut,1,5
Wheat,Hilly,No,7.08,135.0,56.0,47,13.7,60.4,138.1,Healthy,1,-1
Maize,Hilly,Yes,6.47,99.0,42.0,55,30.5,74.5,130.3,Healthy,2,2
Millet,Hilly,Yes,6.9,60.0,47.0,26,34.1,50.0,62.0,Downy Mildew,2,2
Maize,Hilly,Yes,7.2,110.0,69.0,58,23.3,77.2,115.6,Healthy,1,-1
Mustard,Hilly,Yes,6.33,94.0,47.0,36,23.1,72.2,33.7,Downy Mildew,2,2
Maize,Terai,Yes,6.65,107.0,53.0,55,18.3,67.9,166.5,Healthy,2,2
Mustard,Terai,Yes,6.3,96.0,52.0,40,19.4,57.7,39.2,Healthy,2,2
Cotton,Terai,Yes,6.48,109.0,34.0,44,25.5,66.25,98.1,Wilt,2,2
Potato,Hilly,Yes,6.02,125.0,69.0,91,21.0,71.3,132.1,Late Blight,1,4
Tomato,Terai,Yes,6.71,124.0,69.0,84,24.1,60.5,110.8,Leaf Curl,1,5
Potato,Hilly,Yes,6.35,147.0,63.0,101,19.9,67.7,131.0,Late Blight,1,4
Rice,Terai,Yes,6.8,67.0,55.0,39,34.5,91.0,198.1,Blast,0,5
Rice,Terai,Yes,5.81,78.0,53.0,56,30.8,94.0,232.8,Blast,0,5
Rice,Terai,Yes,6.26,119.0,43.0,31,28.2,89.0,232.8,Healthy,0,5
Wheat,Terai,Yes,6.12,104.0,48.0,56,15.0,62.3,104.2,Smut,1,5
Maize,Terai,Yes,5.82,123.0,36.0,43,19.9,75.4,182.2,Blight,0,-1
Mustard,Hilly,Yes,6.31,73.0,54.0,40,12.7,68.9,96.0,White Rust,2,2
Rice,Terai,Yes,6.89,92.0,49.0,57,27.3,90.4,209.7,Healthy,0,5
Potato,Hilly,No,5.28,101.0,70.0,104,12.5,80.1,82.5,Healthy,1,-1
Maize,Terai,Yes,6.82,121.0,58.0,63,25.8,62.6,110.7,Stalk Rot,2,2
Tomato,Terai,Yes,6.58,106.0,58.0,60,29.6,78.3,79.9,Leaf Curl,1,5
Tomato,Terai,No,6.64,119.0,61.0,81,24.0,79.2,99.9,Mosaic,1,-1
Wheat,Hilly,Yes,6.16,93.0,68.0,42,23.1,66.25,101.0,Powdery Mildew,1,4
Maize,Hilly,Yes,6.56,92.0,59.0,51,29.5,60.5,145.6,Healthy,2,2
Tomato,Terai,Yes,6.47,88.0,54.0,69,22.3,62.5,44.7,Mosaic,1,5
Tomato,Hilly,Yes,6.2,126.0,67.0,91,23.3,76.3,85.1,Mosaic,1,4
Millet,Hilly,Yes,7.33,46.0,31.0,35,29.0,45.3,93.2,Healthy,2,2
Millet,Mountain,Yes,6.06,46.0,27.0,20,30.3,47.2,57.0,Downy Mildew,2,2
Wheat,Hilly,Yes,7.44,109.0,72.0,62,11.6,56.4,106.7,Healthy,1,4
Wheat,Terai,Yes,6.49,119.0,62.0,53,18.9,68.2,51.6,Rust,1,5
Potato,Hilly,No,6.47,130.0,52.0,104,19.7,82.9,129.4,Late Blight,1,-1
Tomato,Hilly,Yes,6.82,112.0,56.0,72,24.2,59.9,102.8,Mosaic,1,4
Rice,Terai,No,6.46,94.0,57.0,32,26.2,70.1,232.8,Blast,0,0
Rice,Terai,Yes,5.77,75.0,54.0,58,30.1,66.25,222.6,Blast,0,5
Tomato,Hilly,No,6.7,111.0,47.0,73,25.4,56.9,82.6,Healthy,1,-1
Millet,Mountain,No,6.16,60.0,32.0,39,30.1,41.7,53.6,Downy Mildew,2,1
Rice,Terai,Yes,6.77,65.0,44.0,34,25.2,66.25,221.2,Sheath Rot,0,5
Millet,Mountain,Yes,6.73,67.0,39.0,22,21.0,43.5,73.4,Blast,2,2
Rice,Terai,No,5.6,86.0,55.0,32,27.2,74.3,232.8,Blast,0,0
Cotton,Terai,Yes,6.56,90.0,54.0,52,26.5,49.0,63.9,Wilt,2,2
Potato,Mountain,No,5.87,139.0,70.0,104,17.5,67.5,142.5,Early Blight,1,7
Rice,Terai,Yes,6.29,72.0,45.0,46,34.6,91.0,232.8,Sheath Rot,0,5
Maize,Hilly,Yes,6.85,74.0,38.0,57,30.8,65.0,139.8,Healthy,2,2
Tomato,Terai,Yes,6.15,85.0,44.0,55,20.5,67.6,81.3,Mosaic,1,5
Wheat,Terai,Yes,7.48,129.0,58.0,62,24.9,57.8,72.7,Smut,1,5
Tomato,Terai,Yes,6.8,93.0,68.0,60,25.2,62.5,72.1,Leaf Curl,1,5
Wheat,Terai,Yes,6.44,103.0,53.0,73,10.4,58.7,113.1,Smut,1,5
Wheat,Terai,Yes,6.68,134.0,44.0,68,11.8,55.2,77.3,Healthy,1,5
Rice,Terai,Yes,6.04,103.0,36.0,36,29.9,71.5,226.8,Blight,0,5
Rice,Terai,Yes,6.47,91.0,50.0,38,26.4,66.25,163.4,Sheath Rot,0,5
Tomato,Terai,Yes,6.01,94.0,56.0,78,28.2,70.4,108.9,Mosaic,1,5
Wheat,Hilly,Yes,6.61,81.0,46.0,68,15.6,66.1,77.1,Healthy,1,4
Tomato,Terai,Yes,6.84,124.0,72.0,55,20.9,80.0,75.6,Leaf Curl,1,5
Tomato,Hilly,Yes,6.88,121.0,49.0,51,26.3,60.8,65.4,Wilt,1,4
Rice,Terai,Yes,5.56,100.0,39.0,46,32.6,80.1,165.2,Blight,0,5
